Game,iOS,Android,Paid,Reviews (iOS),Average Stars(iOS),Category(iOS),URL(iOS),Last Updated (iOS),Reviews (Android),Average Stars (Android),Installs (Android),Category(Android),URL(Android),Last Updated (Android),Goals,Challenges,Competition/Leaderboards,Collaboration,Social Influences,High Scores,Badges,Plot,Narrative,Points,Levels,Unlockable Content,Lifelines,Real-life-incentives,Remarks
Fitcrits,no,yes,in-app,,,,,,98,3.2,10000,Health & Fitness,https://play.google.com/store/apps/details?id=com.susanoo.fitcrits&hl=en_US,43313,,,yes,yes,,,,,,yes,yes,,,,
GameOn – Fitness Challenge,no,yes,free,,,,,,8,2.6,500,Health & Fitness,https://play.google.com/store/apps/details?id=fitness.gameon&hl=en_US,43238,yes,yes,yes,,yes,,,,,yes,,,,yes,
Winwalk pedometer,no,yes,free,,,,,,11661,4.1,500000,Health & Fitness,https://play.google.com/store/apps/details?id=com.winwalk.android&hl=en_US,43889,yes,,,,,,,,,,,,,yes,
Carrot Rewards,no,yes,in-app,,,,,,3981,2.4,500000,Health & Fitness,https://play.google.com/store/apps/details?id=com.carrot&hl=en_US,43630,yes,,,,,,,,yes,yes,,,,yes,carrot rerwards
 inKin - Wellness & Challenges,yes,yes,free,1,1,Health & Fitness,https://apps.apple.com/au/app/inkin-step-challenges/id1456256877,43918,66,3.2,5000,Health & Fitness,https://play.google.com/store/apps/details?id=am.minnova.inkin&hl=en_US,43918,yes,yes,yes,yes,yes,,,,,,,,,,
Color Band A1,removed,yes,free,,,,,,2836,3.8,500000,Health & Fitness,https://play.google.com/store/apps/details?id=com.huawei.colorbands,43598,yes,,,,,,,,,,,,,,
Moon Joggers,yes,yes,free,19,4.6,Health & Fitness,https://apps.apple.com/us/app/moon-joggers/id1438419521,43533,9,1.7,1000,Health & Fitness,https://play.google.com/store/apps/details?id=io.moonjoggers.knoxweb&hl=en_US,43532,yes,,yes,yes,yes,,,,,,,,,yes,charity is given
FitPotato,yes,no,free,126,4.2,Health & Fitness,https://apps.apple.com/us/app/fitpotato-cash-for-steps/id1150340368,43780,,,,,,,,yes,yes,,,,,,,,,,,yes,
Social Steps,yes,removed,free,637,4.6,Health & Fitness,https://apps.apple.com/us/app/social-steps/id1217028732,43902,12,,,,,,yes,,yes,,yes,,,,,yes,yes,,,yes,
Fitness Pets - The less serious fitness tracker,no,yes,free,,,,,,71,4.6,1000,Health & Fitness,https://play.google.com/store/apps/details?id=com.FitnessPetsRelease,43935,yes,yes,,,,,yes,,yes,yes,yes,yes,,,
Thunderpod - The fitness game,yes,yes,free,381,4.4,Health & Fitness,https://apps.apple.com/in/app/thunderpod/id1388465266,43937,9914,4.2,100000,Health & Fitness,https://play.google.com/store/apps/details?id=com.thunderpod.zeus,43934,yes,yes,yes,,yes,,,,yes,yes,,,,yes,
Go&Grow,no,yes,Free,,,,,,0,,10,Health & Fitness,https://play.google.com/store/apps/details?id=edu.neu.ccs.wellness.adcaregiverapp&hl=en_US,43572,yes,yes,,,yes,,,,yes,,,yes,,,
SquadEasy,yes,yes,in-app,89,4.2,Health & Fitness,https://apps.apple.com/us/app/squadeasy/id956539681,43838,1893,4.1,10000,Health & Fitness,https://play.google.com/store/apps/details?id=co.livehappier.SquadRunner&hl=en_US,43928,yes,yes,yes,yes,yes,yes,yes,,,yes,yes,,,,
Munzee,yes,yes,in-app,15,4.3,Games,https://apps.apple.com/us/app/munzee/id1367282248,43935,374,3.6,1000,GAME_ADVENTURE,https://play.google.com/store/apps/details?id=com.freezetag.munzee&hl=en_US,43935,,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,,,
Sentiv - Run or Walk & Earn Money for a Charity,yes,yes,free,19,5,Health & Fitness,https://apps.apple.com/us/app/sentiv-fitness-incentive-app/id1144925487,43641,77,4.4,5000,Health & Fitness,https://play.google.com/store/apps/details?id=com.ndkc.runnur&hl=en_US,43484,yes,,yes,,yes,,,,,,,,,yes,
Pocket Plants,yes,yes,in-app,1,4,Games,https://apps.apple.com/bn/app/pocket-plants/id1170134874,43936,27425,4.4,500000,GAME_SIMULATION,https://play.google.com/store/apps/details?id=com.kongregate.mobile.pocketplants.google,43939,yes,yes,,yes,yes,,,,yes,yes,,yes,,,
CodeFit,yes,no,free,1,5,Games,https://apps.apple.com/us/app/codefit/id1232721272,42877,N/A,N/A,N/A,N/A,N/A,N/A,yes,,,,,,,,yes,,,,,,
Virtual Journeys for Fitbit,yes,no,in-app,5,2.4,Health & Fitness,https://apps.apple.com/us/app/virtual-journeys-for-fitbit/id1090753504,43752,N/A,N/A,N/A,N/A,N/A,,yes,,,,,,,,yes,,,,,,
Unicef Kid Power,yes,yes,in-app,617,4.5,Education,https://apps.apple.com/us/app/unicef-kid-power/id1033602557,43910,1176,3.7,100000,Education,https://play.google.com/store/apps/details?id=org.unicefkidpower.kph,43915,,yes,yes,yes,yes,,,,yes,yes,,,,yes,
MoveSpring,yes,yes,free,61,3.9,Health & Fitness,https://apps.apple.com/us/app/movespring/id1315128138,43917,142,3.6,10000,Health & Fitness,https://play.google.com/store/apps/details?id=com.movespring&utm_source=appgrooves&utm_medium=agp_d01504c5a9bc843f263b2686500b160d_com.movespring_us_others_15732451552985,43916,,yes,yes,yes,yes,,,,,,,,,yes,
Gauntlet Challenge,no,yes,free,,,,N/A,,9,4.9,100,Health & Fitness,https://play.google.com/store/apps/details?id=com.nebc.mygauntletchallenge&utm_source=appgrooves&utm_medium=agp_d01504c5a9bc843f263b2686500b160d_com.nebc.mygauntletchallenge_us_others_15732451705010,43323,,yes,yes,yes,yes,,yes,,,yes,yes,,,,
TupeloLife,no,yes,free,,,,N/A,,27,3.9,1000,Health & Fitness,https://play.google.com/store/apps/details?id=com.tupelo&utm_source=appgrooves&utm_medium=agp_d01504c5a9bc843f263b2686500b160d_com.tupelo_us_others_15732451918198,42422,yes,,,,,yes,,,,,,,,,
FITCO: Rewarding Your Steps,yes,yes,free,4,3.8,Health & Fitness,https://apps.apple.com/us/app/fitco/id1232476908,43907,29,3.6,1000,Health & Fitness,https://play.google.com/store/apps/details?id=com.fitcomobile&utm_source=appgrooves&utm_medium=agp_d01504c5a9bc843f263b2686500b160d_com.fitcomobile_us_others_15732452681160,43551,,,,,,yes,,,,,,,,yes,
MaximusLife,yes,yes,free,7,3.6,Lifestyle,https://apps.apple.com/us/app/maximuslife/id1042627073,43939,12,4.1,1000,Lifestyle,https://play.google.com/store/apps/details?id=com.maximuslife.app&utm_source=appgrooves&utm_medium=agp_d01504c5a9bc843f263b2686500b160d_com.maximuslife.app_us_others_15732452702908,43939,yes,yes,yes,yes,yes,,,,,yes,,,,yes,
Fuell,no,yes,free,,,,N/A,,15,3.5,1000,Health & Fitness,https://play.google.com/store/apps/details?id=com.active_inspiration&utm_source=appgrooves&utm_medium=agp_d01504c5a9bc843f263b2686500b160d_com.active_inspiration_us_others_15732452982364,43804,yes,yes,yes,yes,yes,yes,,,,yes,,,,yes,
